Hotel,Room,Price
Hotel A,Deluxe Room,120
Hotel A,Standard Room,80
Hotel A,Suite Room,200
Hotel A,Single Room,60
Hotel A,Double Room,100
Hotel A,Family Room,180
Hotel A,Presidential Suite,350
Hotel A,Economy Room,50
Hotel B,Presidential Room,$400 /night
Hotel B,King Suite,$320 /night
Hotel B,Luxury Room,$300 /night
Hotel B,Standard Room,$90 /night
Hotel B,Family Suite,$250 /night
Hotel B,Single Room,$65 /night
Hotel B,Double Room,$110 /night
Hotel B,Queen Suite,$180 /night
Hotel B,Suite Room,$210 /night
Hotel B,Economy Room,$70 /night
